Tag,Rng,ArtistNo,Title,Artist,ConstituentID,Nationality,Birth,Death,Date,Medium,CreditLine,AccessionNumber,Classification,Department,DateAcquired,ObjectID,URL,ThumbnailURL
11,1,3,Pavlova's Foot,A.R. Penck Ralf Winkler,5531,Russian,1887,1953,1922,Pencil,Gift of the artist,2.1932,Drawing,Drawings,2/24/1932,32972,http://www.moma.org/collection/works/32972,http://www.moma.org/media/W1siZiIsIjMzNDkwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cf8e62d18c7ec86a
12,5,3,Bathers,A.R. Penck Ralf Winkler,1053,French,1839,1906,1885-1890,Watercolor,Lillie P. Bliss Collection,2.1934,Drawing,Drawings,9/23/1934,32973,http://www.moma.org/collection/works/32973,http://www.moma.org/media/W1siZiIsIjM0OTg3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7a1bfe387ccbd797
13,5,3,Garden of Memories,A.R. Penck Ralf Winkler,870,American,1893,1967,1917,Watercolor,Gift of Abby Aldrich Rockefeller by exchange,2.1936,Drawing,Drawings,1/14/1936,32974,http://www.moma.org/collection/works/32974,http://www.moma.org/media/W1siZiIsIjIwNzk3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dc8eb541d33f5fb3
14,3,3,The Hornblower Der Hornbla¤ser,A.R. Penck Ralf Winkler,335,German,1870,1938,1927,Charcoal,Gift of Erich Cohn,2.1939,Drawing,Drawings,1/6/1939,32975,http://www.moma.org/collection/works/32975,http://www.moma.org/media/W1siZiIsIjExMjg2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b3204cc5aaa0708b
15,5,3,Blue Horse with Rainbow Blaues Pferd mit Regenbogen,A.R. Penck Ralf Winkler,3748,German,1880,1916,1913,Watercolor,John S. Newberry Collection,2.1964,Drawing,Drawings,1/7/1964,32978,http://www.moma.org/collection/works/32978,http://www.moma.org/media/W1siZiIsIjEzNTE4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d089636936f952b5
16,3,3,Standing Woman Stehende Schwangere mit reich ornamentiertem Gewand nach rechts,A.R. Penck Ralf Winkler,3147,Austrian,1862,1918,1905,Pencil,Gift of Mrs. Anneli Arms,2.1966,Drawing,Drawings,1/11/1966,32979,http://www.moma.org/collection/works/32979,http://www.moma.org/media/W1siZiIsIjEzNjE2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d282904645bdd95b
17,5,3,Beast,A.R. Penck Ralf Winkler,203,Dutch,1921,2006,1956,Ink,The Joan and Lester Avnet Collection,2.1978,Drawing,Drawings,4/4/1978,32981,http://www.moma.org/collection/works/32981,http://www.moma.org/media/W1siZiIsIjI5NDYyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee404b4426ce7be6
18,1,3,Untitled Figures in Gothic Arches,A.R. Penck Ralf Winkler,588,American,1918,1988,1946-1947,Graphite,Gift of Barbara Bladen Porter,2.1998,Drawing,Drawings,2/5/1998,32982,http://www.moma.org/collection/works/32982,http://www.moma.org/media/W1siZiIsIjI0NDkzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4b03a9a6053307b9
19,3,3,Insects at Twilight,A.R. Penck Ralf Winkler,870,American,1893,1967,1917,Gouache,Gift of Abby Aldrich Rockefeller by exchange,3.1936,Drawing,Drawings,1/14/1936,32983,http://www.moma.org/collection/works/32983,http://www.moma.org/media/W1siZiIsIjI0NDkzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=139aa02d02853c97
20,1,3,Monte Carlo Bond No. 12,A.R. Penck Ralf Winkler,1634,American,1887,1968,1924,Cut and Pasted,Gift of the artist,3.1939,Drawing,Drawings,1/6/1939,32984,http://www.moma.org/collection/works/32984,http://www.moma.org/media/W1siZiIsIjc1MTc0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a3aac4a994e64365
21,2,3,The Individual State of the World,A.R. Penck Ralf Winkler,2309,American,1910,2001,1947,Tempera,A. Conger Goodyear Fund,3.1948,Drawing,Drawings,3/17/1948,32986,http://www.moma.org/collection/works/32986,http://www.moma.org/media/W1siZiIsIjY1NTY1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=2071195da0a010d6
22,3,3,"Early Houses, Provincetown",A.R. Penck Ralf Winkler,1490,American,1883,1935,1918,Watercolor,Gift of Philip L. Goodwin,3.1949,Drawing,Drawings,2/3/1949,32987,http://www.moma.org/collection/works/32987,http://www.moma.org/media/W1siZiIsIjExNTg2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=36eee28214fc55bd
23,1,3,Collage II On Filet Ground Collage II [Auf Filetgrund],A.R. Penck Ralf Winkler,2675,German,1889,1978,1925,Cut and Pasted,Gift of the artist and of Rose Fried,3.1963,Drawing,Drawings,1/8/1963,32990,http://www.moma.org/collection/works/32990,http://www.moma.org/media/W1siZiIsIjIwOTk4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3d14ae830a0ae79c
24,2,3,"Seated Woman Sitzend nach rechts, Halbbild",A.R. Penck Ralf Winkler,3147,Austrian,1862,1918,1915,Pencil,Gift of J.B. Neumann,3.1964,Drawing,Drawings,1/7/1964,32991,http://www.moma.org/collection/works/32991,http://www.moma.org/media/W1siZiIsIjEzNjE3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=830a8df1c31711f6
25,1,3,Sphere,A.R. Penck Ralf Winkler,4530,American,1914,2006,1964,Pen,Gift of Mrs. Alfred R. Stern,3.1966,Drawing,Drawings,1/11/1966,32992,http://www.moma.org/collection/works/32992,http://www.moma.org/media/W1siZiIsIjg1MjY2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a87e34da2f0b868a
26,3,3,Abstract Composition,A.R. Penck Ralf Winkler,233,British,1873,1931,1914,Pencil,The Joan and Lester Avnet Collection,3.1978,Drawing,Drawings,4/4/1978,32994,http://www.moma.org/collection/works/32994,http://www.moma.org/media/W1siZiIsIjI0MjMyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=51f2574e817d950a
27,1,3,Untitled Radiating Star,A.R. Penck Ralf Winkler,588,American,1918,1988,1946,Graphite,Gift of Barbara Bladen Porter,3.1998,Drawing,Drawings,2/5/1998,32995,http://www.moma.org/collection/works/32995,http://www.moma.org/media/W1siZiIsIjI0NDk0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2e9486f76bf06157
28,3,3,Anna Peter,A.R. Penck Ralf Winkler,2374,American,1893,1959,1926-1927,Pencil,Gift of Paul J. Sachs,4.1929,Drawing,Drawings,11/19/1929,32996,http://www.moma.org/collection/works/32996,http://www.moma.org/media/W1siZiIsIjg1OTk2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=419286d467f44d18
29,2,3,The Interurban Line,A.R. Penck Ralf Winkler,870,American,1893,1967,1920,Watercolor,Gift of Abby Aldrich Rockefeller by exchange,4.1936,Drawing,Drawings,1/14/1936,32998,http://www.moma.org/collection/works/32998,http://www.moma.org/media/W1siZiIsIjE2NjM2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=94a1c46cc54b8477
30,1,3,Dispute by Moonlight Disput bei Mondschein Two Men,A.R. Penck Ralf Winkler,2374,American,1893,1959,1920,Ink,Conger Goodyear Fund,4.1948.a-b,Drawing,Drawings,3/17/1948,33002,http://www.moma.org/collection/works/33002,http://www.moma.org/media/W1siZiIsIjE2NjM2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=323535cc6789d7f7
31,5,3,Costume studies for the play The Madwoman of Chaillot,A.R. Penck Ralf Winkler,486,French,1902,1949,1945,Ink,Gift of Walter A. Allner,4.195,Drawing,Drawings,1/6/1950,33004,http://www.moma.org/collection/works/33004,http://www.moma.org/media/W1siZiIsIjY0MDU3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=4cba345d6ae05e5d
32,4,3,"Brooding Woman recto, Three Children verso",A.R. Penck Ralf Winkler,4609,Spanish,1881,1973,1904,Watercolor,Gift of Mr. and Mrs. Werner E. Josten,4.1956.a-b,Drawing,Drawings,1/23/1956,33008,http://www.moma.org/collection/works/33008,http://www.moma.org/media/W1siZiIsIjIwOTk5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=deaebf73f2ce1293
33,5,3,Untitled,A.R. Penck Ralf Winkler,392,German,1889,1955,1949,Pencil,Gift of John S. Newberry,4.1962,Drawing,Drawings,1/9/1962,33011,http://www.moma.org/collection/works/33011,http://www.moma.org/media/W1siZiIsIjY0MDUwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=aada8b895a738a25
34,1,3,Untitled,A.R. Penck Ralf Winkler,2675,German,1889,1978,1945,Cut and Pasted,Gift of the artist and of Rose Fried,4.1963,Drawing,Drawings,1/8/1963,33012,http://www.moma.org/collection/works/33012,http://www.moma.org/media/W1siZiIsIjE3MTk4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c0080915b8dc8caa
35,5,3,Eye-Balloon Å’il-ballon,A.R. Penck Ralf Winkler,4840,French,1840,1916,1878,Charcoal,Gift of Larry Aldrich,4.1964,Drawing,Drawings,1/7/1964,33013,http://www.moma.org/collection/works/33013,http://www.moma.org/media/W1siZiIsIjI2Mzk0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9d55da48a05aea4e
36,2,3,People Houses,A.R. Penck Ralf Winkler,4308,American,1940,0,1967,Watercolor,Larry Aldrich Foundation Fund,4.1968,Drawing,Drawings,1/10/1968,33015,http://www.moma.org/collection/works/33015,http://www.moma.org/media/W1siZiIsIjMzOTI5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f31e450bb9ccee3
37,5,3,"Music for Carillon, # 4, Page 2",A.R. Penck Ralf Winkler,912,American,1912,1992,1961,Ink,Acquired with matching funds from Mr. and Mrs. Allen Grover and the National Endowment for the Arts,4.1977,Drawing,Drawings,2/2/1977,33016,http://www.moma.org/collection/works/33016,http://www.moma.org/media/W1siZiIsIjg4ODM0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=6b4d723e155d0dee
38,3,3,Costume design for the ballet The Firebird,A.R. Penck Ralf Winkler,300,Russian,1866,1924,1913,"Metallic paint, gouache, watercolor and pencil on paper on board",The Joan and Lester Avnet Collection,4.1978,Drawing,Drawings,4/4/1978,33017,http://www.moma.org/collection/works/33017,http://www.moma.org/media/W1siZiIsIjIwNzk4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1310d07528e682d5
39,1,3,Untitled White Monolith,A.R. Penck Ralf Winkler,588,American,1918,1988,1946-1947,Graphite,Gift of Barbara Bladen Porter,4.1998,Drawing,Drawings,2/5/1998,33018,http://www.moma.org/collection/works/33018,http://www.moma.org/media/W1siZiIsIjI0NDk0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4cb9f3153db86aeb
40,5,3,Composition in Red,A.R. Penck Ralf Winkler,1391,Cuban,1908,1991,1946,Gouache,Gift of Miss Renee Spodheim,5.195,Drawing,Drawings,1/6/1950,33022,http://www.moma.org/collection/works/33022,http://www.moma.org/media/W1siZiIsIjI0Mzg4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=98f1daf1cdaa4caf
41,5,3,Standing Nude,A.R. Penck Ralf Winkler,935,French,1879,1965,1904,Ink,Mrs. Cornelius J. Sullivan Fund,5.1953,Drawing,Drawings,1/30/1953,33023,http://www.moma.org/collection/works/33023,http://www.moma.org/media/W1siZiIsIjMyNDY1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ba218e87876b1968
42,5,3,Study for The Laugh,A.R. Penck Ralf Winkler,624,Italian,1882,1916,1910,Pencil,Gift of Herbert and Nannette Rothschild,5.1962,Drawing,Drawings,1/9/1962,33025,http://www.moma.org/collection/works/33025,http://www.moma.org/media/W1siZiIsIjE2ODcxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2f117c6abd3f2343
43,5,3,With Seaweed,A.R. Penck Ralf Winkler,2675,German,1889,1978,1950,Cut and Pasted,Gift of the artist and of Rose Fried,5.1963,Drawing,Drawings,1/8/1963,33026,http://www.moma.org/collection/works/33026,http://www.moma.org/media/W1siZiIsIjI3OTAwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c61808f31269e3ed
44,3,3,Untitled,A.R. Penck Ralf Winkler,6113,American,1922,1996,1963,Ink,Gift of Mrs. Donald B. Straus,5.1964,Drawing,Drawings,1/7/1964,33027,http://www.moma.org/collection/works/33027,http://www.moma.org/media/W1siZiIsIjI3OTI5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c38b0553487c9549
45,3,3,"Music for Carillon, # 4, Page 3",A.R. Penck Ralf Winkler,912,American,1912,1992,1961,Ink,Acquired with matching funds from Gertrud A. Mellon and the National Endowment for the Arts,5.1977,Drawing,Drawings,2/2/1977,33028,http://www.moma.org/collection/works/33028,http://www.moma.org/media/W1siZiIsIjE3NjAwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=74ec5f467649be8e
46,5,3,Porphyrophore. Costume design for the ballet The Sleeping Princess,A.R. Penck Ralf Winkler,300,Russian,1866,1924,1921,"Metallic paint, watercolor, and pencil on paper",The Joan and Lester Avnet Collection,5.1978,Drawing,Drawings,4/4/1978,33029,http://www.moma.org/collection/works/33029,http://www.moma.org/media/W1siZiIsIjE2OTg5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5de4f5ce140c7d95
47,4,3,Untitled Winged Figure,A.R. Penck Ralf Winkler,588,American,1918,1988,1946-1947,Graphite,Gift of Barbara Bladen Porter,5.1998,Drawing,Drawings,2/5/1998,33030,http://www.moma.org/collection/works/33030,http://www.moma.org/media/W1siZiIsIjI0NDk0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a5c46ff945775b8b
48,3,4,The Bridge at Gardanne b View of Gardanne,Aaron Johnson,1053,French,1839,1906,1885-1886,Watercolor and pencil on paper  b Pencil on paper,Lillie P. Bliss Collection,6.1934.a-b,Drawing,Drawings,10/23/2013,33032,http://www.moma.org/collection/works/33032,http://www.moma.org/media/W1siZiIsIjI3NTQ2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0cc589aec990558d
49,5,4,Innocence in a Labyrinth,Aaron Johnson,3526,American,1892,1966,1940,Cut and Pasted,Purchase,6.1948,Drawing,Drawings,3/17/1948,33033,http://www.moma.org/collection/works/33033,http://www.moma.org/media/W1siZiIsIjM5NTYzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f36555536ba95875
50,3,4,Seated Woman,Aaron Johnson,935,French,1879,1965,1910,Ink,Acquired through the Lillie P. Bliss Bequest by exchange,6.1953,Drawing,Drawings,1/30/1953,33035,http://www.moma.org/collection/works/33035,http://www.moma.org/media/W1siZiIsIjE2MjUxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d13cb382d0fd6c20
51,5,5,Collage,Aaron Morse,4484,Italian,1901,1981,1926,"Parcel post wrapping, stamps, ink, and x printed paper",Katherine S. Dreier Bequest,6.1954,Drawing,Drawings,1/12/1954,33036,http://www.moma.org/collection/works/33036,http://www.moma.org/media/W1siZiIsIjI2NDAwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=68782d9d4f44ad98
52,1,5,Cavalier of Death,Aaron Morse,1364,Spanish,1904,1989,1934,Ink,Gift of Miss Ann Resor,6.1955,Drawing,Drawings,4/6/1955,33037,http://www.moma.org/collection/works/33037,http://www.moma.org/media/W1siZiIsIjI5MTI4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=58cd765e4cde9518
53,2,5,A Young Girl,Aaron Morse,317,French,1908,2001,1947,Chalk,The Joan and Lester Avnet Collection,6.1978,Drawing,Drawings,4/4/1978,33043,http://www.moma.org/collection/works/33043,http://www.moma.org/media/W1siZiIsIjIxMDAwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df2d203ac13cc721
54,4,5,Diver,Aaron Morse,1889,American,1948,0,1980,Oil,Gift of Thea Westreich and Ethan Wagner,6.1998,Drawing,Drawings,2/5/1998,33044,http://www.moma.org/collection/works/33044,http://www.moma.org/media/W1siZiIsIjMyMjMzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=860b3b2d741d3be6
55,2,5,The Seeming Beginning,Aaron Morse,2722,American,1918,2000,1943,Ink,James Thrall Soby Fund,7.1944,Drawing,Drawings,3/14/1944,33049,http://www.moma.org/collection/works/33049,http://www.moma.org/media/W1siZiIsIjI3OTA1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3243e104a3bf183
56,5,5,The Beautiful Bird Revealing the Unknown to a Pair of Lovers Le Bel oiseau dechiffrant l'inconnu au couple d'amoureux from the Constellation series,Aaron Morse,4016,Spanish,1893,1983,1941,Gouache,Acquired through the Lillie P. Bliss Bequest by exchange,7.1945,Drawing,Drawings,1/3/1945,33050,http://www.moma.org/collection/works/33050,http://www.moma.org/media/W1siZiIsIjI2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bf727f1ff5608d44
57,2,6,Female Head,Abraham Palatnik,4609,Spanish,1881,1973,1940,Pencil,Gift of Justin K. Thannhauser,7.1948,Drawing,Drawings,3/17/1948,33051,http://www.moma.org/collection/works/33051,http://www.moma.org/media/W1siZiIsIjcxMzI1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=5f851559cad7b20f
58,1,6,Figures for a Corner,Abraham Palatnik,2956,American,1904,1994,1948,Charcoal,Gift of Mrs. Alma Morgenthau,7.195,Drawing,Drawings,1/6/1950,33052,http://www.moma.org/collection/works/33052,http://www.moma.org/media/W1siZiIsIjI3OTI5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aff5b3d5f81825e9
59,1,7,At the Cafe Im Cafe,Abraham Rattner,1559,German,1891,1969,1922,Watercolor,Gift of Samuel A. Berger,7.1955,Drawing,Drawings,4/6/1955,33053,http://www.moma.org/collection/works/33053,http://www.moma.org/media/W1siZiIsIjExMzQzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7b1d8e9ef5fef28c
60,5,8,The End of the Road Out of Fear of Starvation [Das Ende des Weges Aus Nahrungssorgen],Abraham Walkowitz,2374,American,1893,1959,1913,Watercolor,Purchase,7.1958,Drawing,Drawings,2/19/1958,33054,http://www.moma.org/collection/works/33054,http://www.moma.org/media/W1siZiIsIjEyMTkwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e411740632be231a
61,4,9,"Bent Umbrella Grass, No. 1",Acharya Vyakul,1717,American,1911,1973,1958,Watercolor,Gift of Mr. and Mrs. Richard Adler,7.1959,Drawing,Drawings,10/29/1958,33055,http://www.moma.org/collection/works/33055,http://www.moma.org/media/W1siZiIsIjI3OTI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e733ae5de851ef5a
62,1,10,Untitled,Ad Dekkers,768,French,1896,1966,1935,Decalcomania ink transfer on paper,Purchase,7.1969,Drawing,Drawings,2/10/1969,33058,http://www.moma.org/collection/works/33058,http://www.moma.org/media/W1siZiIsIjgyMTQ2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a9170104c0c2fc58
63,1,11,Exton Barn No. 3,Ad Reinhardt,1298,American,1906,1978,1936,Watercolor,Acquired with matching funds from Blanchette Hooker Rockefeller and the National Endowment for the Arts,7.1977,Drawing,Drawings,2/2/1977,33059,http://www.moma.org/collection/works/33059,http://www.moma.org/media/W1siZiIsIjE4NjU5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e6bd03198bbb0dd6
64,3,11,The Miser Der Geizige,Ad Reinhardt,335,German,1870,1938,1922,Charcoal,The Joan and Lester Avnet Collection,7.1978,Drawing,Drawings,4/4/1978,33060,http://www.moma.org/collection/works/33060,http://www.moma.org/media/W1siZiIsIjExMjg3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=10528f49d6b52408
